FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
-0.637549407,0.675521304,0.202768986,0.248314862,0.503490322,0,0.081427812,0.015316021,0,0.472371864,correct
-0.11037805,0.223118945,0.141271987,0.248314862,0,0,0.144119814,0.009412765,0,0.242978283,correct
-0.997798702,1,0.260117499,0.248314862,1,0,0.231683053,0.022270733,0,0.476123108,correct
0.934587322,0.223118945,0.937477669,0.248314862,0,0,0.036954475,0.017496024,1,0.635031644,correct
-0.44326867,1,0.671309723,0.248314862,0.759231438,0.756081487,0.131721848,0.011514611,0,0.740941727,mistake
-0.061497374,0.223118945,0.177517732,0.248314862,0,0,0.288424297,0.039197664,0,0.170620545,correct
0.430039875,0,0.430039875,0,0,0,0.197531667,0.198533342,0.491100512,0.136147678,mistake
0.798059787,0,0.798059787,0,0,0,0.236621726,0.156418181,0.588028016,1,correct
0.73034998,0,0.73034998,0,0,0,0.566494868,0.383001738,0,1,correct
-0.422706989,1,0.577293011,0,0.160162195,0.211450349,0.239572089,0.138463623,0,1,mistake
0.622806548,0.241982469,0.864789017,0,0.083047064,0,0.259184301,0.361328353,0.548659671,1,mistake
-0.66927473,1,0.33072527,0,0.339737989,0.209962123,0.297949448,0.129624117,0,0.293454456,correct
-0.239344846,0.758210159,0.518865313,0,0.083047064,0.177166529,0.269964932,0.154383911,0,0.824141843,mistake
0.904377419,0,0.904377419,0,0,0,1,1,0,0.414021714,mistake
1,0,1,0,0,0,0.191629186,0.168820788,1,0.308813613,mistake
-0.632022464,0.862223355,0.230200891,0,0,0.295910354,0.115932434,0.183490105,0,0.163055288,correct
0.557560597,0,0.557560597,0,0,0,0.194389413,0.442943939,0.541172097,0.1724926,correct
0.526475266,0,0.526475266,0,0,0,0.140595546,0.253984198,0.644584715,0.202626154,correct
0.386486263,0,0.386486263,0,0,0,0.178365218,0.372630879,0,0.480637612,mistake
0.653588248,0,0.653588248,0,0,0,0.448574568,0.406277659,0.630567939,0.099224113,correct
